lr,clip,ent_coef,n_steps,survival_mean,survival_std,return_mean,return_std
0.0001,0.3,0.05,8192,69.66666666666667,1.367073110293988,0.64084,0.014921475435313592
0.0001,0.2,0.005,4096,69.56666666666666,0.7408703590297547,0.6546025000000001,0.008704141495096856
0.0001,0.2,0.005,8192,68.83333333333333,0.659966329107436,0.6489783333333334,0.005680193047384499
0.0003,0.3,0.05,2048,68.5,0.6164414002968925,0.6156591666666668,0.009971781923118005
0.0001,0.2,0.01,8192,68.23333333333333,1.1440668201153668,0.645755,0.00916087946105614
0.0001,0.3,0.01,8192,68.13333333333334,1.851725921644151,0.6421833333333334,0.015228344505851215
0.0001,0.1,0.01,4096,67.96666666666665,1.6048537489614254,0.6317141666666667,0.01669766167927577
0.0001,0.3,0.01,4096,67.93333333333332,0.9392668535736901,0.6359958333333333,0.012006375447606556
0.0001,0.3,0.02,4096,67.73333333333333,0.2054804667656324,0.6276166666666668,0.007736535705483564
0.0003,0.2,0.01,8192,67.73333333333333,1.0274023338281573,0.6153633333333334,0.0089653974473466
0.0001,0.3,0.01,2048,67.53333333333333,1.9362047641943438,0.6239916666666666,0.014520532780246781
0.001,0.2,0.05,4096,67.46666666666668,0.618241233033045,0.5810583333333333,0.0059843665542440765
0.0001,0.1,0.05,8192,67.46666666666667,2.041785710815141,0.6300883333333333,0.02437550173272793
0.0001,0.3,0.005,4096,67.30000000000001,1.0230672835481873,0.6359466666666668,0.009673654155603442
0.0003,0.2,0.05,2048,67.26666666666667,0.5249338582674549,0.5963491666666667,0.007963257900438073
0.0001,0.1,0.01,2048,66.9,1.0708252269472711,0.6130041666666667,0.00612511439802462
0.001,0.1,0.01,2048,66.89999999999999,0.21602468994692955,0.5805616666666668,0.0019045136445356265
0.001,0.2,0.05,8192,66.83333333333334,0.987702159335269,0.58023,0.013856624017655458
0.0003,0.2,0.02,2048,66.83333333333333,1.1785113019775793,0.5998674999999999,0.011284590710344796
0.001,0.1,0.01,8192,66.66666666666667,0.6649979114420023,0.5845350000000001,0.007782104471156882
0.0003,0.3,0.01,4096,66.66666666666667,0.4921607686744479,0.5991533333333333,0.007494232319294243
0.001,0.3,0.01,2048,66.46666666666668,1.1614167593456277,0.5827291666666666,0.01849239363149677
0.001,0.2,0.005,8192,66.36666666666667,1.9362047641943454,0.5800525,0.01998085656739139
0.001,0.3,0.005,2048,66.33333333333333,0.9672412085697925,0.5866116666666668,0.009028468016348224
0.001,0.3,0.05,2048,66.30000000000001,0.5715476066494088,0.57636,0.005744531094876239
0.0003,0.3,0.05,8192,65.8,1.349073756323208,0.5813475,0.018471618206498973
0.001,0.3,0.01,8192,65.33333333333333,0.7845734863959903,0.5710375000000001,0.00872173315153968
0.001,0.3,0.02,8192,65.23333333333333,1.2391753530294096,0.5716433333333333,0.013725169448458176
0.001,0.2,0.02,2048,65.10000000000001,1.296148139681575,0.5665308333333333,0.013609699410918512
0.001,0.1,0.05,2048,64.63333333333334,1.3474255287605146,0.5608033333333333,0.020423975120485792
